sheet,row,column,cell,obra_value,other_value
BD_FLUXO,2,A,A2,2025-01-02 00:00:00,2025-05-09 00:00:00
BD_FLUXO,2,B,B2,6470 - AIDEAL SOLUÇÕES ANTICORROSIVAS LTDA,NIOBIO
BD_FLUXO,2,C,C2,2.24,40258.08
BD_FLUXO,2,D,D2,,0
BD_FLUXO,2,E,E2,,40258.08
BD_FLUXO,2,F,F2,1.2.3 - Origens Financeiras,1 - ENTRADA
BD_FLUXO,2,G,G2,ADMINISTRATIVO,NIOBIO CMOC CONTRATO
BD_FLUXO,3,A,A3,2025-01-06 00:00:00,2025-05-12 00:00:00
BD_FLUXO,3,B,B3,6572 - CMOC BRASIL MINERAÇAO INDUSTRIAL E PARTICIPAÇOES,SERVIÇO JATEAMENTO E PINTURA MAQUINA DE RECICLAGEM
BD_FLUXO,3,C,C3,6624,2000
BD_FLUXO,3,D,D3,,0
BD_FLUXO,3,E,E3,,2000
BD_FLUXO,3,F,F3,1.1.1 - Recebimento de Clientes,1 - ENTRADA
BD_FLUXO,3,G,G3,CMOC CONTRATO VIEGENCIA,CANTEIRO DE OBRA
BD_FLUXO,4,A,A4,2025-01-06 00:00:00,2025-05-13 00:00:00
BD_FLUXO,4,B,B4,6574 - VLI MULTIMODAL S.A,FOSFATO
BD_FLUXO,4,C,C4,322141.74,21186.92
BD_FLUXO,4,D,D4,,0
BD_FLUXO,4,E,E4,,21186.92
BD_FLUXO,4,F,F4,1.1.1 - Recebimento de Clientes,1 - ENTRADA
BD_FLUXO,4,G,G4,VLI PINTURA,FOSFATO CMOC CONTRAT
BD_FLUXO,5,A,A5,2025-01-07 00:00:00,2025-05-16 00:00:00
BD_FLUXO,5,B,B5,6645 - AIDEAL SOLUÇÕES ANTICORROSIVAS LTDA,NIOBIO
BD_FLUXO,5,C,C5,2.25,41352.96
BD_FLUXO,5,D,D5,,0
BD_FLUXO,5,E,E5,,41352.96
BD_FLUXO,5,F,F5,1.2.3 - Origens Financeiras,1 - ENTRADA
BD_FLUXO,5,G,G5,ADMINISTRATIVO,NIOBIO CMOC CONTRATO
BD_FLUXO,6,A,A6,2025-01-08 00:00:00,2025-05-19 00:00:00
BD_FLUXO,6,B,B6,6672 - AIDEAL SOLUÇÕES ANTICORROSIVAS LTDA,NIOBIO
BD_FLUXO,6,C,C6,2.24,38751.24
BD_FLUXO,6,D,D6,,0
BD_FLUXO,6,E,E6,,38751.24
BD_FLUXO,6,F,F6,1.2.3 - Origens Financeiras,1 - ENTRADA
